"cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Generacja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Typ","Liczba drzwi","Liczba miejsc","Kolor","Metalik","VAT mar¿a","Kraj pochodzenia","Numer rejestracyjny pojazdu","Zarejestrowany w Polsce","Pierwszy w³aœciciel","Bezwypadkowy","Serwisowany w ASO","Stan","VIN","Emisja CO2","Mo¿liwoœæ finansowania","Gwarancja dealerska (w cenie)","Pierwsza rejestracja","Faktura VAT","Leasing","Miesiêczna rata","Wersja","Filtr cz¹stek sta³ych","Per³owy","lub do (przebieg km)","Akryl (niemetalizowany)","Uszkodzony","Homologacja ciê¿arowa","Matowy","Tuning","Kierownica po prawej (Anglik)"
"62 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2017","129 479 km","1 968 cm3","Diesel","150 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Szary",NA,NA,NA,NA,"Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"12/05/2017","Tak","Tak","369 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2017","190 652 km","1 968 cm3","Diesel","150 KM","Manualna","Na przednie ko³a","Kombi","5","5","Srebrny","Tak",NA,"Polska",NA,"Tak","Tak",NA,"Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"17/05/2017","Tak","Tak","345 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","219 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Sedan","4","5","Z³oty",NA,NA,NA,NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,NA,NA,NA,NA,"2.0 TDI BlueMotion Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","322 470 km","1 968 cm3","Diesel","177 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Bia³y","Tak","Tak",NA,NA,NA,"Tak","Tak","Tak","U¿ywane","Wyœwietl VIN","136 g/km","Tak",NA,NA,NA,NA,NA,"Variant 2.0 TDI DSG BlueMotion Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42 000","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","290 000 km","1 984 cm3","Benzyna","210 KM","Automatyczna","4x4 (do³¹czany automatycznie)","Kombi","5",NA,"Br¹zowy",NA,NA,NA,NA,NA,"Tak",NA,"Tak","U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,NA,NA,NA,"Alltrack 2.0 TSI 4Motion DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2016","179 314 km","1 968 cm3","Diesel","150 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Br¹zowy","Tak",NA,NA,NA,"Tak",NA,NA,"Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"26/10/2016",NA,"Tak","339 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","150 000 km","1 968 cm3","Diesel","170 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Czarny","Tak","Tak","Niemcy",NA,NA,NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","155 g/km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40 800","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","166 054 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Br¹zowy","Tak","Tak","Niemcy",NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,NA,"Tak",NA,NA,"2.0 TDI Comfortline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","127 631 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Sedan","4","5","Czarny","Tak",NA,"Polska",NA,"Tak",NA,NA,"Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"26/09/2014","Tak","Tak","268 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","80 000 km","1 390 cm3","Benzyna","122 KM","Manualna","Na przednie ko³a","Sedan","4","5","Czarny",NA,NA,"Polska",NA,"Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN","145 g/km",NA,NA,"01/07/2014",NA,NA,NA,"1.4 TSI Comfortline",NA,"Tak",NA,NA,NA,NA,NA,NA,NA
"38 000","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","130 000 km","1 390 cm3","Benzyna","160 KM","Manualna","Na przednie ko³a","Kombi","5","5","Czarny",NA,NA,"Polska",NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","149 g/km",NA,NA,"24/01/2013",NA,NA,NA,"Variant 1.4 TSI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23 370","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","321 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Czarny","Tak",NA,NA,"DW362VS","Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN","120 g/km",NA,NA,"18/05/2011","Tak",NA,NA,"Variant 2.0 TDI BlueMotion Technology","Tak",NA,NA,NA,NA,NA,NA,NA,NA
"25 800","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","227 750 km","1 598 cm3","Diesel","105 KM","Manualna","Na przednie ko³a","Kombi","5","5","Srebrny",NA,NA,NA,"XXXXXXX","Tak","Tak","Tak",NA,"U¿ywane","Wyœwietl VIN","118 g/km",NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA
"65 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2017","158 710 km","1 968 cm3","Diesel","150 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Czarny","Tak",NA,NA,NA,"Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"23/05/2017","Tak","Tak","387 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2017","134 452 km","1 968 cm3","Diesel","150 KM","Manualna","Na przednie ko³a","Sedan","4","5","Niebieski","Tak",NA,"Polska",NA,"Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"12/06/2017","Tak","Tak","357 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","279 000 km","1 968 cm3","Diesel","177 KM","Manualna","Na przednie ko³a","Kombi","5","5","Srebrny","Tak",NA,NA,NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","123 g/km","Tak",NA,NA,NA,NA,NA,"2.0 TDI Comfortline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","127 631 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Sedan","4","5","Czarny","Tak",NA,"Polska",NA,"Tak",NA,NA,"Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"26/09/2014","Tak","Tak","268 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29 700","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","276 349 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Niebieski","Tak",NA,"Polska",NA,"Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,"09/05/2012","Tak",NA,NA,"2.0 TDI Comfortline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25 999","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","259 000 km","2 000 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Niebieski","Tak","Tak",NA,"DLE37149","Tak","Tak",NA,"Tak","U¿ywane","Wyœwietl VIN",NA,NA,NA,"11/08/2011",NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA
"47 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2016","162 421 km","1 598 cm3","Diesel","120 KM","Manualna","Na przednie ko³a","Kombi","5","5","Czarny","Tak",NA,"Polska",NA,"Tak","Tak",NA,"Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"08/12/2016","Tak","Tak","280 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","245 700 km","1 968 cm3","Diesel","140 KM","Manualna","4x4 (do³¹czany automatycznie)","Sedan","4","5","Br¹zowy","Tak",NA,"Polska","PO421SK","Tak","Tak",NA,"Tak","U¿ywane","Wyœwietl VIN","158 g/km",NA,NA,"01/08/2011",NA,NA,NA,"2.0 TDI DPF 4Motion",NA,NA,"232 000 km",NA,NA,NA,NA,NA,NA
"42 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","173 868 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Sedan","5","5","Niebieski",NA,NA,"Polska","SPS06878","Tak","Tak","Tak",NA,"U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,"12/07/2012",NA,NA,NA,"2.0 TDI Highline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29 800","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","231 542 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Czarny","Tak","Tak",NA,"NMR11957","Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","135 g/km",NA,NA,"11/11/2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2017","157 796 km","1 968 cm3","Diesel","150 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Szary",NA,NA,NA,NA,"Tak","Tak",NA,"Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"12/05/2017","Tak","Tak","363 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","132 527 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Czarny",NA,NA,NA,NA,"Tak","Tak",NA,"Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"21/08/2013",NA,"Tak","256 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39 000","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","161 700 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Z³oty","Tak",NA,NA,"OP8767L","Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,NA,NA,NA,NA,"2.0 TDI Comfortline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","198 000 km","1 598 cm3","Diesel","105 KM","Manualna","Na przednie ko³a","Kombi","5","5","Szary",NA,NA,"Niemcy",NA,NA,NA,"Tak","Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","234 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Szary","Tak",NA,NA,"PZ479EX","Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,"01/11/2013",NA,NA,NA,"2.0 TDI Comfortline","Tak",NA,NA,NA,NA,NA,NA,NA,NA
"62 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2017","135 455 km","1 968 cm3","Diesel","150 KM","Manualna","Na przednie ko³a","Sedan","5","5","Czarny",NA,NA,"Polska",NA,"Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"22/08/2017","Tak","Tak","369 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36 400","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","207 000 km","1 968 cm3","Diesel","140 KM","Manualna","4x4 (do³¹czany automatycznie)","Kombi","5","5","Szary",NA,NA,NA,NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","139 g/km",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42 999","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","265 785 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Czarny","Tak",NA,"Niemcy","RSA32484","Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,NA,NA,NA,NA,"2.0 TDI Highline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38 000","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","135 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Sedan","4","5","Srebrny","Tak",NA,"Polska",NA,"Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,NA,NA,NA,NA,"Tak",NA,NA,NA,NA,NA,NA,NA,NA
"31 800","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","228 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Szary",NA,NA,NA,"GWE7811E",NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN","153 g/km",NA,NA,"23/12/2011",NA,NA,NA,"2.0 TDI DPF Comfortline","Tak",NA,NA,NA,NA,NA,NA,NA,NA
"65 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","30 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Srebrny","Tak",NA,"Polska","PO 399XU","Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,"07/01/2014","Tak",NA,NA,"2.0 TDI Comfortline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2017","141 242 km","1 968 cm3","Diesel","150 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Czarny",NA,NA,NA,NA,"Tak","Tak",NA,"Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"28/02/2017","Tak","Tak","363 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","244 970 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Kombi","4","5","Czarny","Tak",NA,NA,"PL97803","Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN","163 g/km",NA,NA,"05/04/2011",NA,NA,NA,"2.0 TDI DPF Highline DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","54 505 km","1 968 cm3","Diesel","140 KM","Manualna","4x4 (sta³y)","Kombi","5","5","Czarny","Tak","Tak","Niemcy",NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN","139 g/km",NA,NA,NA,NA,NA,NA,"Variant 2.0 TDI 4Motion BlueMotion Technol",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","280 000 km","1 968 cm3","Diesel","177 KM","Automatyczna","4x4 (sta³y)","Kombi","5","5","Czarny",NA,NA,"Polska",NA,"Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN","149 g/km",NA,NA,"17/09/2013","Tak",NA,NA,"2.0 TDI 4Mot Highline DSG","Tak","Tak",NA,NA,NA,NA,NA,NA,NA
"39 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","83 185 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Sedan","4","5","Br¹zowy","Tak",NA,NA,NA,"Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"20/04/2011",NA,"Tak","232 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2017","114 626 km","1 968 cm3","Diesel","150 KM","Manualna",NA,"Sedan","4","5","Srebrny","Tak",NA,"Polska",NA,"Tak",NA,NA,"Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"06/12/2017","Tak","Tak","369 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38 000","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","259 588 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Srebrny",NA,NA,"Niemcy",NA,NA,NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","120 g/km",NA,NA,"21/10/2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","155 312 km","1 390 cm3","Benzyna","160 KM","Manualna","Na przednie ko³a","Kombi","5","5","Srebrny","Tak",NA,"Polska",NA,"Tak","Tak",NA,"Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"22/01/2014","Tak","Tak","238 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","255 000 km","1 968 cm3","Diesel","170 KM","Automatyczna","4x4 (do³¹czany automatycznie)","Kombi","5","5","Czarny","Tak",NA,NA,NA,"Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN","177 g/km",NA,NA,NA,NA,NA,NA,"2.0 TDI DPF Comfortline DSG","Tak",NA,NA,NA,NA,NA,NA,NA,NA
"39 700","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","241 200 km","1 968 cm3","Diesel","177 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Inny kolor","Tak",NA,"Polska","POLSKA","Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN","136 g/km","Tak",NA,"28/02/2014",NA,NA,NA,"2.0 TDI Highline DSG",NA,"Tak",NA,NA,NA,NA,NA,NA,NA
"29 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","216 000 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Niebieski","Tak",NA,"Niemcy",NA,"Tak",NA,NA,"Tak","U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,"02/11/2011",NA,NA,NA,"2.0 TDI Comfortline",NA,NA,"216 000 km",NA,NA,NA,NA,NA,NA
"57 999","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","60 000 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Sedan","4","5","Br¹zowy","Tak",NA,"Polska","GTC SF04","Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN","135 g/km",NA,NA,"03/12/2013",NA,NA,NA,"2.0 TDI Comfortline DSG","Tak",NA,NA,NA,NA,NA,NA,NA,NA
"39 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","83 185 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Sedan","4","5","Br¹zowy","Tak",NA,NA,NA,"Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"20/04/2011",NA,"Tak","232 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","214 908 km","1 598 cm3","Diesel","105 KM","Manualna","Na przednie ko³a","Kombi","5","5","Bia³y",NA,NA,"Polska",NA,"Tak",NA,NA,"Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"28/05/2013",NA,"Tak","161 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33 002","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","144 273 km","1 390 cm3","Benzyna","122 KM","Manualna","Na przednie ko³a","Kombi","5","5","Be¿owy","Tak",NA,"Polska",NA,"Tak",NA,NA,"Tak","U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"05/03/2014","Tak","Tak","196 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","272 000 km","1 968 cm3","Diesel","177 KM","Automatyczna","4x4 (sta³y)","Kombi","5","5","Srebrny","Tak",NA,"Polska",NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","149 g/km",NA,NA,"11/03/2014",NA,NA,NA,"Variant 2.0 TDI 4Motion DSG BlueMotion Tech",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","191 000 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Czerwony",NA,NA,"Niemcy","ONY24608","Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN","135 g/km",NA,NA,"11/06/2012",NA,NA,NA,"2.0 TDI Comfortline DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
